OBJECTID_1,PARKING_LO,ROTATE,CREATED_BY,CREATED_DA,MODIFIED_B,MODIFIED_D,access_type,CreationDate,Creator,EditDate,Editor,Location,LATITUDE,LONGITUDE
62,341,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2692966, -97.7374649)",30.2692966,-97.7374649
63,342,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2691097, -97.7375336)",30.2691097,-97.7375336
64,343,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2704697, -97.7398758)",30.2704697,-97.7398758
65,344,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2661114, -97.7427216)",30.2661114,-97.7427216
66,345,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2696571, -97.748848)",30.2696571,-97.748848
67,346,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2671146, -97.7344742)",30.2671146,-97.7344742
68,347,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2670002, -97.7338104)",30.2670002,-97.7338104
69,348,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2661438, -97.7350388)",30.2661438,-97.7350388
70,349,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2667408, -97.7362137)",30.2667408,-97.7362137
71,350,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2676868, -97.7381439)",30.2676868,-97.7381439
72,351,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2684746, -97.7387314)",30.2684746,-97.7387314
73,353,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.268713, -97.7380753)",30.268713,-97.7380753
74,354,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2690048, -97.7390671)",30.2690048,-97.7390671
75,355,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2691135, -97.7395325)",30.2691135,-97.7395325
76,356,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2688141, -97.7397385)",30.2688141,-97.7397385
77,357,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2692909, -97.7402039)",30.2692909,-97.7402039
78,358,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2688541, -97.7414627)",30.2688541,-97.7414627
79,359,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2688885, -97.7379837)",30.2688885,-97.7379837
80,360,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2705021, -97.7393951)",30.2705021,-97.7393951
81,361,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2707386, -97.739296)",30.2707386,-97.739296
82,363,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2697163, -97.745575)",30.2697163,-97.745575
83,366,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2694607, -97.7460098)",30.2694607,-97.7460098
84,367,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2697105, -97.7459259)",30.2697105,-97.7459259
85,369,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.268322, -97.7433777)",30.268322,-97.7433777
86,370,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2689171, -97.7438278)",30.2689171,-97.7438278
87,371,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2722206, -97.7468948)",30.2722206,-97.7468948
88,372,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2714481, -97.7431641)",30.2714481,-97.7431641
89,373,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2716503, -97.7430954)",30.2716503,-97.7430954
90,374,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.271452, -97.7435074)",30.271452,-97.7435074
91,375,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2718086, -97.7433777)",30.2718086,-97.7433777
92,376,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2643604, -97.7446976)",30.2643604,-97.7446976
93,378,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2677994, -97.7445068)",30.2677994,-97.7445068
94,379,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2680378, -97.7453461)",30.2680378,-97.7453461
95,380,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2681046, -97.7455978)",30.2681046,-97.7455978
96,381,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2681103, -97.7462234)",30.2681103,-97.7462234
97,382,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2683487, -97.7464371)",30.2683487,-97.7464371
98,383,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2685566, -97.7474594)",30.2685566,-97.7474594
99,384,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2707939, -97.7502441)",30.2707939,-97.7502441
100,385,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2709198, -97.7422943)",30.2709198,-97.7422943
101,386,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2689056, -97.7432175)",30.2689056,-97.7432175
102,387,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2626266, -97.7435532)",30.2626266,-97.7435532
103,388,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2633591, -97.7432175)",30.2633591,-97.7432175
104,389,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2633591, -97.7432175)",30.2633591,-97.7432175
105,390,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2633591, -97.7432175)",30.2633591,-97.7432175
106,391,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2633591, -97.7432175)",30.2633591,-97.7432175
107,392,16,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2633591, -97.7432175)",30.2633591,-97.7432175
108,394,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2692719, -97.7498703)",30.2692719,-97.7498703
109,395,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2644234, -97.7378159)",30.2644234,-97.7378159
110,396,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2736969, -97.7432327)",30.2736969,-97.7432327
111,397,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2735691, -97.742775)",30.2735691,-97.742775
112,398,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2690239, -97.7493591)",30.2690239,-97.7493591
113,399,0,ATD_ADMIN,09/23/2015 12:00:00 AM,ATD_ADMIN,09/23/2015 12:00:00 AM,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2645073, -97.746582)",30.2645073,-97.746582
